inputtool,outputtools
dunovo,sequence_content_trimmer
modencode_peakcalling_macs2,"bedtools_intersectbed_bam,Cut1"
filter_columns,vcftools_slice
vcftools_slice,AnnovarShed
mlocarna,"rnaz,viennarna_rnaalifold"
createInterval,cat1
cp_enhance_or_suppress_features,cp_mask_image
cp_mask_image,cp_identify_primary_objects
sucos_max_score,"collapse_dataset,tp_cat"
minfi_mset,"minfi_qc,minfi_rset"
minfi_rset,minfi_maptogenome
minfi_maptogenome,minfi_dropsnp
enasearch_search_data,fastqc
trinity_gene_to_trans_map,trinity_abundance_estimates_to_matrix
minfi_dmp,Remove beginning1
chipeakanno_annopeaks,Cut1
clusterprofiler_bitr,clusterprofiler_go
rseqc_inner_distance,"tp_awk_tool,multiqc"
get_child_terms,tp_easyjoin_tool
deeptools_plot_profile,DatamashTranspose
alevin,"_salmon_kallisto_mtx_to_10x,_dropletBarcodePlot"
_salmon_kallisto_mtx_to_10x,dropletutils_read_10x
dropletutils_read_10x,dropletutils_empty_drops
dropletutils_empty_drops,sceasy_convert
paired_fastq_filtering,"repeatexplorer2,tarean_exp"
EMBOSS: getorf42,"CONVERTER_fasta_to_tabular,fasta_merge_files_and_filter_unique_sequences"
fastq_stats,bandage_image
kraken-translate,Grouping1
gemini_burden,sort1
vcfselectsamples,vcf2tsv
rnaspades,quast
CONVERTER_bed_to_fli_0,CONVERTER_bed_gff_or_vcf_to_bigwig_0
bamCompare_deepTools,computeMatrix
EMBOSS: revseq82,EMBOSS: getorf42
Remove_ending,cat1
muscle,rgweblogo3
samtools_markdup,samtools_stats
fasta_concatenate0,"gd_raxml,snp_sites"
snpSift_geneSets,vcftools_merge
openbabel_remDuplicates,ctb_mordred_descriptors
ctb_mordred_descriptors,"Remove beginning1,Paste1"
flanking_features_1,join1
ip_2d_filter_segmentation_by_features,ip_2d_feature_extraction
jbrowse,create_or_update
create_or_update,iframe
lfq_protein_quant,"Filter1,Grep1"
scpipe,raceid_main
raceid_main,"raceid_trajectory,seurat"
blast2go,rnbeads
idr_download_by_ids,cp_cellprofiler
gd_rank_terms,gd_calc_freq
gatk_depth_of_coverage,Filter1
openbabel_filter,ctb_silicos_qed
ucsc-twobittofa,Extract genomic DNA 1
gemini_de_novo,addValue
sklearn_feature_selection,sklearn_nn_classifier
sklearn_nn_classifier,nn_classifier
describe_samples,trinity_run_de_analysis
dexseq,Filter1
goslimmer,goenrichment
picard_CASM,"multiqc,NFS_transfer"
cardinal_quality_report,join_files_on_column_fuzzy
datamash_reverse,tp_replace_in_line
SnpEff-cds-report,gemini_load
velveth_jgi,velvetg_jgi
deeptools_plot_enrichment,multiqc
OpenSwathWorkflow,pyprophet_merge
pyprophet_merge,pyprophet_score
pyprophet_score,pyprophet_peptide
pyprophet_peptide,pyprophet_protein
pyprophet_protein,pyprophet_export
gemini_comp_hets,Remove beginning1
CONVERTER_fasta_to_2bit,ucsc-twobittofa
geneList,countKeggs
MAF_To_Fasta1,tp_replace_in_line
gatk_table_recalibration,gatk_unified_genotyper
trinity_super_transcripts,transdecoder
sccaf_asses,sccaf_asses_merger
sm_mapper,sm_mirdeep2core_without_Randfold
cp_gray_to_color,cp_save_images
nanoplot,iReport
seq2hla,iedb_api
egsea,cuffcompare
EMBOSS: extractseq35,EMBOSS: textsearch98
